Country,Year,Annual CO2 emissions (tonnes)
Brazil,1901,2103136
Brazil,1902,2506176
Brazil,1903,2440224
Brazil,1904,2619760
Brazil,1905,2799296
Brazil,1906,3206000
Brazil,1907,3451488
Brazil,1908,3594384
Brazil,1909,3609040
Brazil,1910,4198944
Brazil,1911,4605648
Brazil,1912,5591264
Brazil,1913,6034608
Brazil,1914,4107344
Brazil,1915,3143712
Brazil,1916,2879904
Brazil,1917,2498848
Brazil,1918,2322976
Brazil,1919,3070432
Brazil,1920,3645680
Brazil,1921,2890896
Brazil,1922,3781248
Brazil,1923,4616640
Brazil,1924,5103952
Brazil,1925,5375088
Brazil,1926,5477680
Brazil,1927,6074912
Brazil,1928,5928352
Brazil,1929,6346048
Brazil,1930,5514320
Brazil,1931,4169632
Brazil,1932,4169632
Brazil,1933,4722896
Brazil,1934,4623968
Brazil,1935,5510656
Brazil,1936,5147920
Brazil,1937,6089568
Brazil,1938,6096896
Brazil,1939,5950336
Brazil,1940,6488944
Brazil,1941,6283760
Brazil,1942,5869728
Brazil,1943,6477952
Brazil,1944,5899040
Brazil,1945,6826032
Brazil,1946,7463568
Brazil,1947,8951152
Brazil,1948,7851952
Brazil,1949,7371968
Brazil,1950,19664688
Brazil,1951,21665232
Brazil,1952,24940848
Brazil,1953,25226640
Brazil,1954,29685728
Brazil,1955,34034896
Brazil,1956,36621680
Brazil,1957,35987808
Brazil,1958,39069232
Brazil,1959,39017080.3
Brazil,1960,46851820.73
Brazil,1961,49144504.1
Brazil,1962,53631448.03
Brazil,1963,55550938.29
Brazil,1964,56666675.33
Brazil,1965,56329617.05
Brazil,1966,64211635.32
Brazil,1967,66079408.3
Brazil,1968,77271373.16
Brazil,1969,84132709.41
Brazil,1970,93530494.44
Brazil,1971,102357941.2
Brazil,1972,114014328.2
Brazil,1973,132019609.9
Brazil,1974,142927313.7
Brazil,1975,150513658.4
Brazil,1976,154398074.8
Brazil,1977,162078338.5
Brazil,1978,175931478.8
